timestamp,datetime,timestamp_desc,message,report,attribution,source,md5,ip,domain
1546118790000,2018-12-29T22:26:30+00:00,VT_md5info,MD5 0e7b32d23fbd6d62a593c234bafa2311 was at least scanned by VT,https://securelist.com/olympic-destroyer-is-still-alive/86169/,Olympic Destroyer,https://www.virustotal.com/gui/file/0e7b32d23fbd6d62a593c234bafa2311/details,0e7b32d23fbd6d62a593c234bafa2311,,
1545527002000,2018-12-23T02:03:22+00:00,VT_md5info,MD5 1d0cf431e623b21aeae8f2b8414d2a73 was at least scanned by VT,https://securelist.com/olympic-destroyer-is-still-alive/86169/,Olympic Destroyer,https://www.virustotal.com/gui/file/1d0cf431e623b21aeae8f2b8414d2a73/details,1d0cf431e623b21aeae8f2b8414d2a73,,
1545405577000,2018-12-21T16:19:37+00:00,VT_md5info,MD5 b60da65b8d3627a89481efb23d59713a was at least scanned by VT,https://securelist.com/olympic-destroyer-is-still-alive/86169/,Olympic Destroyer,https://www.virustotal.com/gui/file/b60da65b8d3627a89481efb23d59713a/details,b60da65b8d3627a89481efb23d59713a,,
1545275516000,2018-12-20T04:11:56+00:00,VT_md5info,MD5 4247901eca6d87f5f3af7df8249ea825 was at least scanned by VT,https://securelist.com/olympic-destroyer-is-still-alive/86169/,Olympic Destroyer,https://www.virustotal.com/gui/file/4247901eca6d87f5f3af7df8249ea825/details,4247901eca6d87f5f3af7df8249ea825,,
1542785327000,2018-11-21T08:28:47+00:00,VT_md5info,MD5 e2e102291d259f054625cc85318b7ef5 was at least scanned by VT,https://securelist.com/olympic-destroyer-is-still-alive/86169/,Olympic Destroyer,https://www.virustotal.com/gui/file/e2e102291d259f054625cc85318b7ef5/details,e2e102291d259f054625cc85318b7ef5,,
1540775050000,2018-10-29T02:04:10+00:00,VT_md5info,MD5 6ccd8133f250d4babefbd66b898739b9 was at least scanned by VT,https://securelist.com/olympic-destroyer-is-still-alive/86169/,Olympic Destroyer,https://www.virustotal.com/gui/file/6ccd8133f250d4babefbd66b898739b9/details,6ccd8133f250d4babefbd66b898739b9,,
1539812669000,2018-10-17T23:44:29+00:00,VT_md5info,MD5 9bc365a16c63f25dfddcbe11da042974 was at least scanned by VT,https://securelist.com/olympic-destroyer-is-still-alive/86169/,Olympic Destroyer,https://www.virustotal.com/gui/file/9bc365a16c63f25dfddcbe11da042974/details,9bc365a16c63f25dfddcbe11da042974,,
1539726149000,2018-10-16T23:42:29+00:00,VT_md5info,MD5 da93e6651c5ba3e3e96f4ae2dd763d94 was at least scanned by VT,https://securelist.com/olympic-destroyer-is-still-alive/86169/,Olympic Destroyer,https://www.virustotal.com/gui/file/da93e6651c5ba3e3e96f4ae2dd763d94/details,da93e6651c5ba3e3e96f4ae2dd763d94,,
1539725827000,2018-10-16T23:37:07+00:00,VT_md5info,MD5 97ddc336d7d92b7db17d098ec2ee6092 was at least scanned by VT,https://securelist.com/olympic-destroyer-is-still-alive/86169/,Olympic Destroyer,https://www.virustotal.com/gui/file/97ddc336d7d92b7db17d098ec2ee6092/details,97ddc336d7d92b7db17d098ec2ee6092,,
1538692572000,2018-10-05T00:36:12+00:00,VT_md5info,MD5 bb5e8733a940fedfb1ef6b0e0ec3635c was at least scanned by VT,https://securelist.com/olympic-destroyer-is-still-alive/86169/,Olympic Destroyer,https://www.virustotal.com/gui/file/bb5e8733a940fedfb1ef6b0e0ec3635c/details,bb5e8733a940fedfb1ef6b0e0ec3635c,,
1538692072000,2018-10-05T00:27:52+00:00,VT_md5info,MD5 abe771f280cdea6e7eaf19a26b1a9488 was at least scanned by VT,https://securelist.com/olympic-destroyer-is-still-alive/86169/,Olympic Destroyer,https://www.virustotal.com/gui/file/abe771f280cdea6e7eaf19a26b1a9488/details,abe771f280cdea6e7eaf19a26b1a9488,,
1529395200000,2018-06-19T10:00:00+00:00,Report_Published,report was published,https://securelist.com/olympic-destroyer-is-still-alive/86169/,Olympic Destroyer,https://www.virustotal.com/gui/file/9bc365a16c63f25dfddcbe11da042974/details,,,
1529040277000,2018-06-15T07:24:37+00:00,VT_First Submission,nakaz.doc,,Olympic Destroyer,https://www.virustotal.com/gui/file/4247901eca6d87f5f3af7df8249ea825/details,4247901eca6d87f5f3af7df8249ea825,,
