timestamp,datetime,datetime_from_article,timestamp_desc,message,report,attribution
1553759054000,2019-03-28T07:44:14+00:00,2019-03-28 07:44:14,Forensic traces for AZJRN1 – Khadija Ismayilova,Process: roleaccountd,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-appendix-d/,NSO
1553759054000,2019-03-28T07:44:14+00:00,2019-03-28 07:44:14,Forensic traces for AZJRN1 – Khadija Ismayilova,Process: stagingd,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-appendix-d/,NSO
1553759055000,2019-03-28T07:44:15+00:00,2019-03-28 07:44:15,Forensic traces for AZJRN1 – Khadija Ismayilova,File: Library/Preferences/roleaccountd.plist,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-appendix-d/,NSO
1554196675000,2019-04-02T09:17:55+00:00,2019-04-02 09:17:55,Forensic traces for AZJRN1 – Khadija Ismayilova,Process record deleted from ZPROCESS,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-appendix-d/,NSO
1555054958000,2019-04-12T07:42:38+00:00,2019-04-12 07:42:38,Forensic traces for AZJRN1 – Khadija Ismayilova,Process record deleted from ZPROCESS,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-appendix-d/,NSO
1556707686000,2019-05-01T10:48:06+00:00,2019-05-01 10:48:06,Forensic traces for AZJRN1 – Khadija Ismayilova,Process record deleted from ZPROCESS,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-appendix-d/,NSO
1556869347000,2019-05-03T07:42:27+00:00,2019-05-03 07:42:27,Forensic traces for AZJRN1 – Khadija Ismayilova,Process record deleted from ZPROCESS,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-appendix-d/,NSO
1558177401000,2019-05-18T11:03:21+00:00,2019-05-18 11:03:21,Forensic traces for AZJRN1 – Khadija Ismayilova,Process record deleted from ZPROCESS,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-appendix-d/,NSO
1560748202000,2019-06-17T05:10:02+00:00,2019-06-17 05:10:02,Forensic traces for AZJRN1 – Khadija Ismayilova,Process record deleted from ZPROCESS,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-appendix-d/,NSO
1560835541000,2019-06-18T05:25:41+00:00,2019-06-18 05:25:41,Forensic traces for AZJRN1 – Khadija Ismayilova,Process record deleted from ZPROCESS,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-appendix-d/,NSO
1561482193000,2019-06-25T17:03:13+00:00,2019-06-25 17:03:13,Forensic traces for AZJRN1 – Khadija Ismayilova,Process record deleted from ZPROCESS,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-appendix-d/,NSO
1562564353000,2019-07-08T05:39:13+00:00,2019-07-08 05:39:13,Forensic traces for AZJRN1 – Khadija Ismayilova,Process record deleted from ZPROCESS,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-appendix-d/,NSO
1562929851000,2019-07-12T11:10:51+00:00,2019-07-12 11:10:51,Forensic traces for AZJRN1 – Khadija Ismayilova,Process record deleted from ZPROCESS,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-appendix-d/,NSO
1563457201000,2019-07-18T13:40:01+00:00,2019-07-18 13:40:01,Forensic traces for AZJRN1 – Khadija Ismayilova,Process record deleted from ZPROCESS,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-appendix-d/,NSO
1566463262000,2019-08-22T08:41:02+00:00,2019-08-22 08:41:02,Forensic traces for AZJRN1 – Khadija Ismayilova,Process record deleted from ZPROCESS,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-appendix-d/,NSO
1566795859000,2019-08-26T05:04:19+00:00,2019-08-26 05:04:19,Forensic traces for AZJRN1 – Khadija Ismayilova,Process record deleted from ZPROCESS,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-appendix-d/,NSO
